City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Hami,CN,84.02,overcast clouds,42.8,93.45,Laoyutang Resort
481,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
482,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
484,Lethem,GY,76.48,few clouds,3.3803,-59.7968,Savannah Inn
485,Hirosaki,JP,81.68,overcast clouds,40.5931,140.4725,Dormy Inn Hirosaki
489,Maragogi,BR,75.87,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
491,Nizwa,OM,81.37,clear sky,22.9333,57.5333,Orient Apartments
494,Kulhudhuffushi,MV,82.35,overcast clouds,6.6221,73.07,Haajy Guest House 1
498,Manadhoo,MV,82.17,overcast clouds,5.7667,73.3833,Bon Abri maldives
505,Khanpur,PK,86.74,clear sky,28.6453,70.6567,Ahmad Bartan store
509,Bonthe,SL,75.97,moderate rain,7.5264,-12.505,Bonthe Holiday Village
512,Bo Rai,TH,85.77,overcast clouds,12.5728,102.5371,Baiboon Resort
514,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
516,Weiser,US,84.4,scattered clouds,44.251,-116.9693,The Colonial Motel
535,Manokwari,ID,81.16,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
537,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
545,Wanning,CN,83.28,overcast clouds,18.8003,110.3967,Paradise Hotel
548,Bull Savanna,JM,75.74,few clouds,17.8868,-77.5902,Big Red's
549,Itarema,BR,76.23,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
554,San Jose,US,91.29,broken clouds,37.3394,-121.895,The Westin San Jose
556,Haapiti,PF,85.73,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
557,Saint Pete Beach,US,84.25,clear sky,27.7253,-82.7412,Sirata Beach Resort
559,Kawalu,ID,76.24,overcast clouds,-7.3817,108.2082,West Jontor
561,Kondagaon,IN,80.31,clear sky,19.6,81.6667,AYAN MOTER
562,Meadow Lake,US,79.74,clear sky,34.8014,-106.5436,TumbleWeed RV Park
569,Alyangula,AU,82.89,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
572,El Dorado,US,89.64,overcast clouds,38.7666,-120.5177,South Fork Group Campground
573,Parakan,ID,77.45,overcast clouds,-6.4191,106.0081,Mejlis taklim Al-ikhlas
574,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
576,Half Moon Bay,US,88.57,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
578,Keti Bandar,PK,81.86,scattered clouds,24.1447,67.4497,Haji laloo memon house
581,Satellite Beach,US,82.06,clear sky,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
585,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
586,Zaraza,VE,79.84,overcast clouds,9.3503,-65.3245,Hotel Zaraza
587,Kaohsiung,TW,84.15,broken clouds,22.6163,120.3133,御宿商旅-中山館
590,Winnemucca,US,86.05,clear sky,40.973,-117.7357,Winners Inn Casino
592,Buala,SB,84.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
594,Puerto Ayacucho,VE,76.1,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
595,Shadegan,IR,80.55,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
610,Yellandu,IN,86.2,overcast clouds,17.6,80.3333,Varalaxmi
612,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
613,Ozuluama,MX,78.94,overcast clouds,21.6667,-97.85,Hotel Posada De La Roma
623,Ende,ID,85.08,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
626,Ratnagiri,IN,84.15,overcast clouds,16.9833,73.3,Hotel Landmark
627,Wahiawa,US,80.92,scattered clouds,21.5028,-158.0236,The Inn At Schofield
629,Chaiya,TH,82.38,broken clouds,9.3862,99.1986,JP Place
633,Muisne,EC,76.68,overcast clouds,0.6,-80.0333,Quinta Samay
635,Santa Rosa,PH,90.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
637,Highland,US,93.11,haze,34.1283,-117.2086,Yaamava' Resort & Casino
638,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
654,Cam Ranh,VN,84.16,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
655,Payson,US,75.58,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
658,Ca Mau,VN,88.39,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
659,Alampur,IN,87.49,broken clouds,15.8833,78.15,Haritha Hotel Alampur
661,Cedar City,US,79.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
664,Halayhayin,PH,87.4,overcast clouds,14.1891,121.4075,Kubo Ni Kalbo
669,Lahaina,US,83.44,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
672,Palauig,PH,86.79,broken clouds,15.435,119.9045,Alperi Botique Resort
675,Puerto Gaitan,CO,77.59,overcast clouds,4.3133,-72.0816,Brisas del Yucao
683,Kharan,PK,85.59,clear sky,28.5833,65.4167,Dil Aram Bangla
